    LRGN[fwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      1.49539,       12.5039,       62.3016,          0.698762,        -0.0817588,      13.2027,      62.2199,      1.15479,      5.44215
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

