    LRGN[rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      1.94567,       23.9183,       94.8002,          0.806893,         -0.187611,      24.7252,      94.6126,      1.40216,      5.36544
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

