    LRGN[rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      1.92702,       20.6636,       84.9938,          0.791821,         -0.184583,      21.4554,      84.8092,       1.2435,       4.9153
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

