    LRGN[fwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      1.46439,       8.22017,       42.3619,          0.637078,        -0.0460535,      8.85725,      42.3158,     0.921504,      4.40252
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

